name,Rw,Tb3Ni_Ni1_Biso,Tb3Ni_Tb1_Biso,Tb3Ni_Tb2_Biso,Tb3Ni_a,Tb3Ni_b,Tb3Ni_c,Tb3Ni_delta2,Tb3Ni_scale,ordscale,parascale,xi
mPDF_T70K_mcif,0.34584803,0.322929394,0.66989555,0.153914771,7.14011745,9.57355875,6.35745658,1.42717299,6.28118307,0.0492208943,0.912980778,3.31782631
mPDF_T110K_mcif,0.35060135,0.322929394,0.66989555,0.153914771,6.38327904,9.54306411,6.35745658,2.80523771,6.28118307,0.041273652,0.995626985,2.42045762
mPDF_T50K_mcif,0.35656451,0.322929394,0.66989555,0.153914771,6.94305554,9.53386772,6.35745658,1.22738349,6.28118307,0.0650314997,0.79095677,6.92843191
mPDF_T65K_mcif,0.34558674,0.322929394,0.66989555,0.153914771,7.22730568,9.51114986,6.35745658,2.92008095,6.28118307,0.05216554,0.892403468,3.52847955
mPDF_T300K_mcif,0.52144422,0.322929394,0.66989555,0.153914771,7.29427479,9.99140968,6.35745658,2.80529947,6.28118307,0.342688223,0.697790875,0.641884266
mPDF_T30K_mcif,0.37118388,0.322929394,0.66989555,0.153914771,6.55365335,9.5513483,6.35745658,4.15607949,6.28118307,0.0867495638,0.632394126,8.18180297
mPDF_T150K_mcif,0.36558239,0.322929394,0.66989555,0.153914771,7.21869568,9.56229011,6.35745658,0.935270232,6.28118307,0.0510790722,0.996778443,1.72032407
mPDF_T58K_mcif,0.34056994,0.322929394,0.66989555,0.153914771,6.8679504,9.56261866,6.35745658,2.57440944,6.28118307,0.0571825894,0.827709597,4.51973549
mPDF_T85K_mcif,0.34746607,0.322929394,0.66989555,0.153914771,6.66145117,9.55035069,6.35745658,3.5750677,6.28118307,0.0437698954,0.970970736,2.91887082
mPDF_T10K_mcif,0.37920321,0.322929394,0.66989555,0.153914771,6.77878723,9.53153017,6.35745658,1.33534493,6.28118307,0.093749083,0.592151678,8.3783375
